step,order1990,order2000,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
181,wisconsin,missouri,california,ohio,south-carolina,new-jersey,texas,alabama,florida,california
182,tennessee,north-carolina,illinois,illinois,ohio,ohio,new-jersey,florida,alabama,alabama
183,new-york,colorado,missouri,south-carolina,illinois,new-york,florida,new-jersey,new-jersey,georgia
184,illinois,california,pennsylvania,new-york,new-york,illinois,ohio,california,california,new-jersey
185,washington,new-york,south-carolina,missouri,missouri,texas,new-york,ohio,georgia,california
186,california,nebraska,new-york,pennsylvania,pennsylvania,florida,california,new-york,ohio,texas
187,new-mexico,wisconsin,michigan,california,texas,missouri,illinois,georgia,new-york,ohio
188,maryland,ohio,west-virginia,louisiana,florida,pennsylvania,missouri,missouri,missouri,north-carolina
189,kentucky,iowa,louisiana,michigan,california,california,pennsylvania,illinois,texas,new-york
190,arizona,texas,california,florida,louisiana,louisiana,georgia,louisiana,north-carolina,missouri
191,mississippi,california,florida,texas,georgia,georgia,louisiana,pennsylvania,illinois,nebraska
192,california,florida,georgia,west-virginia,michigan,maryland,maryland,north-carolina,louisiana,florida
193,florida,maryland,texas,georgia,maryland,michigan,nebraska,maryland,nebraska,maryland
194,ohio,illinois,nebraska,maryland,west-virginia,nebraska,north-carolina,texas,pennsylvania,louisiana
195,pennsylvania,michigan,maryland,nebraska,nebraska,north-carolina,michigan,nebraska,maryland,washington
196,new-jersey,pennsylvania,north-carolina,north-carolina,north-carolina,west-virginia,texas,michigan,florida,pennsylvania
197,texas,kentucky,wisconsin,california,california,california,california,california,california,illinois
198,new-york,mississippi,california,wisconsin,wisconsin,texas,west-virginia,florida,washington,california
199,north-carolina,south-carolina,kentucky,kentucky,texas,wisconsin,washington,washington,michigan,michigan
200,indiana,massachusetts,new-york,new-york,new-york,virginia,wisconsin,west-virginia,virginia,texas
201,kansas,new-york,iowa,texas,kentucky,new-york,florida,virginia,texas,virginia
