step,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
213,minnesota,california,california,california,mississippi,minnesota,utah,colorado
214,indiana,texas,arkansas,minnesota,pennsylvania,ohio,colorado,massachusetts
215,california,minnesota,minnesota,arizona,minnesota,texas,minnesota,minnesota
216,new-york,indiana,arizona,arkansas,arkansas,mississippi,ohio,georgia
217,new-jersey,new-york,indiana,indiana,florida,pennsylvania,illinois,ohio
218,texas,arizona,new-york,new-york,indiana,utah,arkansas,tennessee
219,arizona,new-jersey,new-jersey,florida,texas,colorado,mississippi,arkansas
220,kansas,kansas,tennessee,new-jersey,utah,arkansas,pennsylvania,nevada
221,michigan,tennessee,kansas,tennessee,new-york,indiana,georgia,pennsylvania
222,tennessee,michigan,florida,utah,tennessee,tennessee,tennessee,illinois
223,california,florida,georgia,kansas,colorado,georgia,indiana,mississippi
224,georgia,california,california,california,new-jersey,new-york,california,indiana
225,florida,georgia,michigan,texas,california,california,new-york,california
226,utah,utah,utah,georgia,georgia,new-jersey,nevada,idaho
227,colorado,colorado,texas,colorado,kansas,kansas,new-jersey,north-carolina
228,north-carolina,texas,colorado,michigan,north-carolina,north-carolina,north-carolina,texas
229,texas,north-carolina,north-carolina,north-carolina,michigan,nevada,texas,new-york
230,illinois,california,california,california,nevada,texas,idaho,new-jersey
231,california,idaho,idaho,idaho,california,michigan,kansas,florida
232,idaho,illinois,oregon,nevada,idaho,idaho,florida,oregon
233,oregon,oregon,nevada,oregon,texas,california,oregon,kansas
234,new-york,new-york,new-york,texas,oregon,oregon,california,california
235,pennsylvania,nevada,illinois,new-york,florida,florida,michigan,michigan
236,nevada,pennsylvania,texas,florida,new-york,new-york,texas,texas
237,ohio,ohio,pennsylvania,illinois,california,california,california,california
238,missouri,missouri,florida,oklahoma,illinois,oklahoma,new-york,washington
239,oklahoma,florida,oklahoma,pennsylvania,oklahoma,texas,oklahoma,florida
240,california,texas,california,california,virginia,virginia,virginia,oklahoma
241,florida,oklahoma,ohio,virginia,pennsylvania,illinois,washington,new-york
